trip_id;arrival_time;departure_time;stop_id;stop_sequence;;;stop_id;stop_nieghbor;travel_time
1,13E+14;05:35:00;05:35:00;1955;1;;;;;
1,13E+14;05:37:00;05:37:00;2062;2;;;;;
1,13E+14;05:39:00;05:39:00;1642;3;;;;;
1,13E+14;05:41:00;05:41:00;1892;4;;;;;
1,13E+14;05:42:00;05:42:00;2036;5;;;;;
1,13E+14;05:43:00;05:43:00;1864;6;;;;;
1,13E+14;05:44:00;05:44:00;1773;7;;;;;
1,13E+14;05:45:00;05:45:00;1688;8;;;;;
1,13E+14;05:47:00;05:47:00;1980;9;;;;;
1,13E+14;05:48:00;05:48:00;2083;10;;;;;
1,13E+14;05:50:00;05:50:00;1945;11;;;;;
1,13E+14;05:51:00;05:51:00;1961;12;;;;;
1,13E+14;05:52:00;05:52:00;2028;13;;;;;
1,13E+14;05:54:00;05:54:00;2048;14;;;;;
1,13E+14;05:55:00;05:55:00;1755;15;;;;;
1,13E+14;05:57:00;05:57:00;1856;16;;;;;
1,13E+14;05:58:00;05:58:00;1803;17;;;;;
1,13E+14;06:00:00;06:00:00;1933;18;;;;;
1,13E+14;06:01:00;06:01:00;1887;19;;;;;
1,13E+14;05:30:00;05:30:00;2433;1;;;;;
1,13E+14;05:31:00;05:31:00;2098;2;;;;;
1,13E+14;05:33:00;05:33:00;2147;3;;;;;
1,13E+14;05:34:00;05:34:00;2216;4;;;;;
1,13E+14;05:35:00;05:35:00;2200;5;;;;;
1,13E+14;05:37:00;05:37:00;2544;6;;;;;
1,13E+14;05:38:00;05:38:00;2170;7;;;;;
1,13E+14;05:39:00;05:39:00;2498;8;;;;;
1,13E+14;05:41:00;05:41:00;2383;9;;;;;
1,13E+14;05:42:00;05:42:00;2331;10;;;;;
1,13E+14;05:43:00;05:43:00;2155;11;;;;;
1,13E+14;05:45:00;05:45:00;2288;12;;;;;
1,13E+14;05:46:00;05:46:00;2522;13;;;;;
1,13E+14;05:48:00;05:48:00;2111;14;;;;;
1,13E+14;05:50:00;05:50:00;2210;15;;;;;
1,13E+14;05:51:00;05:51:00;2443;16;;;;;
1,13E+14;05:53:00;05:53:00;2371;17;;;;;
1,13E+14;05:55:00;05:55:00;2429;18;;;;;
1,13E+14;05:56:00;05:56:00;2470;19;;;;;
